Row,OFD,PFD
BIO0001_I,0.486288412787243,0.486288412787243
BIO0002_I,1.93300345121269,1.93300345121269
BIO0003_I,0.079662408162798,0.079662408162798
BIO0004_I,0,0
BIO0005_I,0.129795149752681,0.129910641413517
BIO0006_I,0.159139558145398,0.147320288450487
BIO0007_I,0.0506632580753603,0.0306732580752396
BIO0008_I,0.054781804384576,0.054781804384576
BIO0009_I,0.0247452667132523,0.0247452667132523
BIO0010_I,0.359221808897322,0.359221808897322
BIO0011_I,0.0428169225234569,0.0465674660459854
BIO0012_I,-0.0100315519543983,-0.0100207544876412
BIO0013_I,0.0699133508535397,0.0699656979505789
BIO0014_I,0.0306733580754326,0.0106733580754508
BIO0015_I,3.59221808897322e-05,3.59221808897322e-05
BIO0100_I,0,0
BIO0101_I,0.0139696216607366,0.0139696216607366
BIO0102_I,0,0
BIO0103_I,0,0
BIO0104_I,0.00773756540599409,0.00773756540599434
BIO0105_I,0,0
BIO0106_I,0.337514621830591,0.337514621830591
BIO0107_I,0,0
DGR0001_I,9.9329066535914,9.74400149234532
DGR0002_I,0.767147163472239,0.689838872593984
DGR0003_I,0.196691084194137,0.192950390531026
DGR0004_I,0.535084923391843,0.524908616771954
DGR0005_L,0.254798219167806,0.249952437328136
DGR0006_L,1.97193928712353,1.93443671894356
DGR0007_L,1.97193928712353,1.93443671894356
DGR0008_L,9.9329066535914,9.74400149234532
DGR0009_L,0.767147163472239,0.689838872593984
DGR0010_L,0.196691084194137,0.192950390531026
DGR0011_L,0.0539857818635809,0.052959074054518
DGR0012_I,0.0539857818635809,0.052959074054518
DGR0013_L,0.0164282262010261,0.0161157923055188
DGR0014_L,0.0164282262010261,0.0161157923055188
DGR0015_L,0.0164282262010261,0.0161157923055188
DGR0016_I,0.0164282262010261,0.0161157923055188
DGR0017_I,0.0164282262010261,0.0161157923055188
DGR0018_L,0.191110385093936,0.187475825808219
DGR0019_I,0.191110385093936,0.187475825808219
DGR0020_L,0.0458104266223989,0.0449391986596629
DGR0021_I,0.0585546691505151,0.0574410697175042
DGR0022_L,0.0127442425281161,0.0125018710578414
DGR0023_I,0.0127442425281161,0.0125018710578414
DGR0024_I,0.0127442425281161,0.0125018710578414
DGR0025_L,0.00513316492335461,0.00503554180241263
DGR0026_I,0.00513316492335461,0.00503554180241263
DGR0027_L,0.267781467434227,0.26268876868566
DGR0028_I,0.267781467434227,0.26268876868566
DGR0029_E,0,0
DGR0029_L,0.00178066117627255,0.00174679635720604
DMN0001_I,0,0
DMN0002_I,0,0.000850327256680485
DMN0005_I,0,0
DMN0006_I,0.000886263049665104,0.000886263049665104
DMN0007_I,0,0
DMN0008_I,0.00902615387002285,0.00902615387002285
DMN0009_I,0,0
DMN0015_I,0,0
DMN0017_I,0,0
DMN0018_I,0,0
DMN0020_I,0,0
DMN0021_I,0,0
DMN0022_I,0,0
DMN0023_I,0,0
DMN0024_I,0.00614566271588536,0.00614566271588536
DMN0025_I,0.01,0.01
DMN0026_I,0.000932938957876321,0.0153916354508349
DMN0027_I,0,0
DMN0030_I,0,0
DMN0031_I,0.132827694080895,0.139899334015718
DMN0032_I,0,0
DMN0033_I,0,0
DMN0034_I,0.00963135025000002,0.00963135025000004
DMN0035_I,0.000368649749999976,0.000368649749999959
DMN0038_I,0,0
DMN0039_I,0,0
DMN0040_I,0,0
DMN0041_I,0,0
DMN0042_I,0.000859892707888607,0.000432130047277003
DMN0043_I,0,0
DMN0044_I,0.00231384206396795,0.00231383001378049
DMN0046_I,0,0
DMN0047_I,0.0044013657716846,0.0044013657716846
DMN0048_I,2.00000964464299e-07,0
DMN0054_I,0,0
DMN0055_I,0,0
DMN0057_I,0,0
DMN0058_I,0.00813644303389083,0.00813644303389083
DMN0059_I,0,0
DMN0060_I,0.00999999999999091,0
DMN0061_I,0.00999999999999091,0
DMN0062_I,0,0
DMN0063_I,0.01,0.01
DMN0064_I,0,0
DMN0065_I,0.01,0.01
DMN0066_I,0.00781079929008718,0.00314472633027822
DMN0067_I,0,0
DMN0068_I,0.01,0.01
DMN0072_I,0.101056956738288,0.101046956738168
DMN0073_I,0,0
DMN0075_I,0.01,0.01
DMN0077_I,0.01,0.01
DMN0078_I,0,0
DMN0080_I,0.01,0
DMN0082_I,0.01,0.01
DMN0083_I,0.0122421639635552,0.0122421639635552
