Lreactions,Hreactions
RC07296_X,RC02484_X
RC07389_I,RC02485_X
RC07389_X,RC02493_X
RC07392_X,RC02497_X
RC08223_I,RC02541_X
RC08223_X,RC02543_X
RC08224_I,RC02556_X
RC08388_X,RC02678_X
RC08505_I,RC02687_X
RC08723_I,RC02719_X
RC08723_X,RC02731_X
RC08724_I,RC02732_X
RC08724_X,RC02736_X
RC08725_I,RC02739_X
RC08734_X,RC02740_X
RC08759_I,RC02746_X
RC08761_I,RC02749_X
RC09319_X,RC02757_X
RC09394_I,RC02902_X
RC09394_X,RC02918_X
RC09752_I,RC02957_X
RC09752_X,RC02976_X
RC09844_I,RC03005_X
RC10059_I,RC03020_X
RC10059_X,RC03038_X
RC10306_I,RC03057_X
RCC0010_I,RC03105_X
RCC0010_X,RC03106_X
RCC0018_I,RC03269_X
RCC0031_I,RC03283_X
RCC0031_X,RC03321_X
RCC0034_I,RC03332_X
RCC0034_X,RC03346_X
RCC0053_I,RC03348_X
RCC0069_X,RC03361_X
RCC0072_X,RC03362_X
RCC0088_X,RC03363_X
RCC0090_X,RC03376_X
RCC0092_X,RC03416_X
RCC0094_X,RC03435_X
RCC0095_X,RC03469_X
RCC0097_X,RC03482_X
RCC0098_X,RC03552_X
RCC0140_I,RC03595_X
RCC0142_I,RC03596_X
RCC0142_X,RC03646_X
RCC0156_I,RC03648_X
RCC0156_X,RC03650_X
RCC0174_I,RC03652_X
RCC0175_I,RC03654_X
RCC0180_X,RC03655_X
RCC0250_I,RC03656_X
RE00548_X,RC03657_X
RE00548_I,RC03658_X
RE10092_X,RC03659_X
RM00112_X,RC03660_X
RM00115_X,RC03661_X
RM00199_X,RC03662_X
RM00261_I,RC03663_X
RM00371_I,RC03664_X
RM00489_I,RC03665_X
RM00549_I,RC03681_X
RM00711_X,RC03755_X
RM00716_I,RC03875_X
RM00751_X,RC03956_X
RM00781_I,RC04162_X
RM01253_I,RC04173_X
RM01253_X,RC04176_X
RM01465_I,RC04184_X
RM01616_I,RC04321_X
RM01616_X,RC04404_X
RM02164_I,RC04452_X
RM02301_I,RC04480_X
RM02313_I,RC04496_X
RM03905_I,RC04513_X
RM03905_X,RC04545_X
RM04807_I,RC04559_X
RM07411_X,RC04780_X
RM08505_I,RC04823_X
RM08759_I,RC04824_X
RM08761_I,RC04866_X
RM08774_I,RC04867_X
RM08775_I,RC04903_X
RMC0006_I,RC04928_X
RMC0007_I,RC04929_X
RMC0008_I,RC05050_X
RMC0077_I,RC05556_X
RMC0092_I,RC05577_X
RMC0092_X,RC05578_X
RMC0094_I,RC05803_X
RMC0094_X,RC05916_X
RMC0097_I,RC05970_X
RMC0097_X,RC05972_X
RMC0132_I,RC05973_X
RMC0184_I,RC05976_X
RMC0187_I,RC05979_X
RMC0187_X,RC05980_X
TCE5106_I,RC05981_X
TCE5106_X,RC05982_X
,RC05983_X
,RC05985_X
,RC05989_X
,RC06238_X
,RC06258_X
,RC06259_X
,RC06260_X
,RC06261_X
