Lreactions,Hreactions
RC07389_X,RC04173_X
RC07392_X,RC04176_X
RC08223_I,RC04184_X
RC08223_X,RC04323_X
RC08224_I,RC04404_X
RC08388_X,RC04452_X
RC08505_I,RC04480_X
RC08723_I,RC04513_X
RC08723_X,RC04545_X
RC08724_I,RC04560_X
RC08724_X,RC04734_X
RC08725_I,RC04770_X
RC08734_X,RC04779_X
RC08759_I,RC04780_X
RC08761_I,RC04807_X
RC09319_X,RC04866_X
RC09394_I,RC04867_X
RC09394_X,RC04903_X
RC09752_I,RC04928_X
RC09752_X,RC04929_X
RC09844_I,RC05050_X
RC10059_I,RC05052_X
RC10059_X,RC05577_X
RC10306_I,RC05578_X
RCC0010_I,RC05803_X
RCC0010_X,RC05976_X
RCC0018_I,RC05979_X
RCC0031_I,RC05980_X
RCC0031_X,RC05981_X
RCC0034_I,RC05982_X
RCC0034_X,RC05983_X
RCC0053_I,RC05985_X
RCC0069_X,RC05988_X
RCC0072_X,RC05989_X
RCC0088_X,RC06519_X
RCC0090_X,RC06520_X
RCC0092_X,RC06521_X
RCC0094_X,RC06522_X
RCC0095_X,RC07168_X
RCC0097_X,RC07212_X
RCC0098_X,RC07213_X
RCC0140_I,RC07299_X
RCC0142_I,RC07324_X
RCC0142_X,RC07377_X
RCC0156_I,RC07379_X
RCC0156_X,RC07385_X
RCC0174_I,RC07387_X
RCC0175_I,RC07641_X
RCC0180_X,RC07759_X
RCC0250_I,RC07761_X
RE00548_X,RC08174_X
RE00548_I,RC08177_X
RE10092_X,RC08183_X
RM00112_X,RC08198_X
RM00115_X,RC08218_X
RM00199_X,RC08505_X
RM00261_I,RC08539_X
RM00371_I,RC08725_X
RM00489_I,RC08759_X
RM00549_I,RC08761_X
RM00711_X,RC08969_X
RM00716_I,RC09035_X
RM00751_X,RC09036_X
RM00781_I,RC09085_X
RM01253_I,RC09086_X
RM01253_X,RC09319_X
RM01465_I,RC09510_X
RM01616_I,RC09511_X
RM01616_X,RC09752_X
RM02164_I,RC09845_X
RM02301_I,RC10092_X
RM02313_I,RC10633_X
RM03905_I,RC10928_X
RM03905_X,RCC0019_X
RM04807_I,RCC0022_X
RM07411_X,RCC0032_X
RM08505_I,RCC0033_X
RM08759_I,RCC0037_X
RM08761_I,RCC0038_X
RM08774_I,RCC0039_X
RM08775_I,RCC0040_X
RMC0006_I,RCC0041_X
RMC0007_I,RCC0042_X
RMC0008_I,RCC0043_X
RMC0077_I,RCC0044_X
RMC0092_I,RCC0045_X
RMC0092_X,RCC0046_X
RMC0094_I,RCC0051_X
RMC0094_X,RCC0055_X
RMC0097_I,RCC0056_X
RMC0097_X,RCC0058_X
RMC0132_I,RCC0060_X
RMC0184_I,RCC0062_X
RMC0187_I,RCC0065_X
RMC0187_X,RCC0066_X
TCE5106_I,RCC0067_X
TCE5106_X,RCC0068_X
,RCC0079_X
,RCC0081_X
,RCC0082_X
,RCC0101_X
,RCC0102_X
,RCC0108_X
,RCC0109_X
,RCC0110_X
,RCC0111_X
,RCC0112_X
,RCC0113_X
,RCC0114_X
,RCC0115_X
,RCC0116_X
,RCC0117_X
,RCC0118_X
,RCC0119_X
,RCC0120_X
,RCC0121_X
,RCC0122_X
,RCC0123_X
,RCC0127_X
,RCC0128_X
,RCC0129_X
,RCC0130_X
,RCC0143_X
,RCC0147_X
,RCC0148_X
,RCC0149_X
,RCC0150_X
,RCC0151_X
,RCC0152_X
,RCC0153_X
,RCC0156_X
,RCC0172_X
,RCC0177_X
,RCC0180_X
,RCC0181_X
,RCC0250_X
,RM00004_X
,RM00081_X
,RM00127_X
,RM00130_X
,RM00197_X
,RM00209_X
,RM00216_X
,RM00243_X
,RM00245_X
,RM00248_X
,RM00258_X
,RM00261_X
,RM00267_X
,RM00275_X
,RM00335_X
,RM00342_X
,RM00351_X
,RM00355_X
,RM00405_X
,RM00410_X
,RM00489_X
,RM00513_X
,RM00667_X
,RM00705_X
,RM00706_X
,RM00709_X
,RM00710_X
,RM00734_X
,RM00833_X
,RM00842_X
,RM00908_X
,RM00927_X
,RM00935_X
,RM01082_X
,RM01090_X
,RM01177_X
,RM01214_X
,RM01253_X
,RM01492_X
,RM01648_X
,RM01859_X
,RM02016_X
,RM02055_X
,RM02161_X
,RM02164_X
,RM02199_X
,RM02433_X
,RM02480_X
,RM02619_X
,RM02661_X
,RM02678_X
,RM03026_X
,RM03038_X
,RM03172_X
,RM03381_X
,RM03650_X
,RM03654_X
,RM03657_X
,RM03658_X
,RM03659_X
,RM03660_X
,RM03663_X
,RM03778_X
,RM03858_X
,RM03991_X
,RM04138_X
,RM04170_X
,RM04188_X
,RM04204_X
,RM04224_X
,RM04433_X
,RM04737_X
,RM04738_X
,RM04739_X
,RM04740_X
,RM04741_X
,RM04742_X
,RM04743_X
,RM04744_X
,RM04745_X
,RM04746_X
,RM04747_X
,RM04748_X
,RM04749_X
,RM04807_X
,RM05051_X
,RM05052_X
,RM05578_X
,RM07136_X
,RM07273_X
,RM08505_X
,RM08657_X
,RM08759_X
,RM08761_X
,RM08771_X
,RM08775_X
,RM08781_X
,RM10151_X
,RMC0001_X
,RMC0003_X
,RMC0004_X
,RMC0005_X
,RMC0006_X
,RMC0007_X
,RMC0008_X
,RMC0011_X
,RMC0012_X
,RMC0013_X
,RMC0014_X
,RMC0023_X
,RMC0024_X
,RMC0075_X
,RMC0089_X
,RMC0091_X
,RMC0093_X
,RMC0096_X
,RMC0103_X
,RMC0104_X
,RMC0105_X
,RMC0106_X
,RMC0107_X
,RMC0126_X
,RMC0132_X
,RMC0133_X
,RMC0183_X
,RMC0184_X
,TCE5019_X
,TCE5085_X
