Lreactions,Hreactions
RC04496_I,RC02778_X
RC04496_X,RC02902_X
RC04560_X,RC02908_X
RC04591_X,RC02918_X
RC04620_I,RC02957_X
RC04620_X,RC02976_X
RC04666_X,RC03020_X
RC04734_I,RC03038_X
RC04807_I,RC03219_X
RC04928_I,RC03283_X
RC04929_I,RC03315_X
RC04996_X,RC03321_X
RC05861_X,RC03332_X
RC05970_I,RC03346_X
RC05970_X,RC03361_X
RC05985_I,RC03362_X
RC05988_X,RC03363_X
RC06099_X,RC03394_X
RC06171_X,RC03416_X
RC06262_I,RC03430_X
RC06264_I,RC03433_X
RC06364_X,RC03435_X
RC06518_I,RC03469_X
RC06518_X,RC03552_X
RC07041_X,RC03596_X
RC07050_X,RC03601_X
RC07172_I,RC03618_X
RC07211_I,RC03634_X
RC07212_I,RC03646_X
RC07212_X,RC03648_X
RC07213_I,RC03650_X
RC07213_X,RC03652_X
RC07218_X,RC03654_X
RC07296_X,RC03655_X
RC07389_I,RC03656_X
RC07389_X,RC03657_X
RC07392_X,RC03658_X
RC08223_I,RC03659_X
RC08223_X,RC03660_X
RC08224_I,RC03661_X
RC08388_X,RC03662_X
RC08505_I,RC03663_X
RC08723_I,RC03664_X
RC08723_X,RC03665_X
RC08724_I,RC03681_X
RC08724_X,RC03749_X
RC08725_I,RC03814_X
RC08734_X,RC03875_X
RC08759_I,RC03956_X
RC08761_I,RC03970_X
RC09319_X,RC04025_X
RC09394_I,RC04073_X
RC09394_X,RC04162_X
RC09752_I,RC04176_X
RC09752_X,RC04183_X
RC09844_I,RC04184_X
RC10059_I,RC04300_X
RC10059_X,RC04404_X
RC10306_I,RC04452_X
RCC0010_I,RC04480_X
RCC0010_X,RC04513_X
RCC0018_I,RC04545_X
RCC0031_I,RC04674_X
RCC0031_X,RC04770_X
RCC0034_I,RC04779_X
RCC0034_X,RC04780_X
RCC0053_I,RC04823_X
RCC0069_X,RC04824_X
RCC0072_X,RC04866_X
RCC0088_X,RC04867_X
RCC0090_X,RC04903_X
RCC0092_X,RC04928_X
RCC0094_X,RC04929_X
RCC0095_X,RC05050_X
RCC0097_X,RC05052_X
RCC0098_X,RC05577_X
RCC0140_I,RC05578_X
RCC0142_I,RC05623_X
RCC0142_X,RC05795_X
RCC0156_I,RC05802_X
RCC0156_X,RC05803_X
RCC0174_I,RC05916_X
RCC0175_I,RC05970_X
RCC0180_X,RC05976_X
RCC0250_I,RC05979_X
RE00548_X,RC05980_X
RE00548_I,RC05981_X
RE10092_X,RC05982_X
RM00112_X,RC05985_X
RM00115_X,RC05989_X
RM00199_X,RC06259_X
RM00261_I,RC06261_X
RM00371_I,RC06517_X
RM00489_I,RC06518_X
RM00549_I,RC06519_X
RM00711_X,RC06520_X
RM00716_I,RC06521_X
RM00751_X,RC06522_X
RM00781_I,RC07034_X
RM01253_I,RC07168_X
RM01253_X,RC07172_X
RM01465_I,RC07324_X
RM01616_I,RC07379_X
RM01616_X,RC07380_X
RM02164_I,RC07385_X
RM02301_I,RC07387_X
RM02313_I,RC07641_X
RM03905_I,RC07759_X
RM03905_X,RC07761_X
RM04807_I,RC07933_X
RM07411_X,RC08174_X
RM08505_I,RC08177_X
RM08759_I,RC08183_X
RM08761_I,RC08218_X
RM08774_I,RC08379_X
RM08775_I,RC08383_X
RMC0006_I,RC08388_X
RMC0007_I,RC08539_X
RMC0008_I,RC08707_X
RMC0077_I,RC08733_X
RMC0092_I,RC08969_X
RMC0092_X,RC09035_X
RMC0094_I,RC09036_X
RMC0094_X,RC09510_X
RMC0097_I,RC09511_X
RMC0097_X,RC09845_X
RMC0132_I,RC10065_X
RMC0184_I,RC10092_X
RMC0187_I,RC10633_X
RMC0187_X,RC10928_X
TCE5106_I,RC10951_X
TCE5106_X,RC12124_X
,RCC0001_X
,RCC0019_X
,RCC0020_X
,RCC0022_X
,RCC0032_X
,RCC0033_X
,RCC0037_X
,RCC0038_X
,RCC0039_X
,RCC0040_X
,RCC0041_X
,RCC0042_X
,RCC0043_X
,RCC0046_X
,RCC0051_X
,RCC0055_X
,RCC0056_X
,RCC0058_X
,RCC0060_X
,RCC0061_X
,RCC0062_X
,RCC0065_X
,RCC0066_X
,RCC0067_X
,RCC0068_X
,RCC0071_X
,RCC0079_X
,RCC0080_X
,RCC0081_X
,RCC0082_X
,RCC0101_X
,RCC0102_X
,RCC0108_X
,RCC0109_X
,RCC0110_X
,RCC0111_X
,RCC0112_X
,RCC0113_X
,RCC0114_X
,RCC0115_X
,RCC0116_X
,RCC0117_X
,RCC0118_X
,RCC0119_X
,RCC0120_X
,RCC0121_X
,RCC0122_X
,RCC0123_X
,RCC0127_X
,RCC0128_X
,RCC0129_X
,RCC0130_X
,RCC0143_X
,RCC0145_X
,RCC0147_X
,RCC0148_X
,RCC0149_X
,RCC0150_X
,RCC0151_X
,RCC0152_X
,RCC0153_X
,RCC0172_X
,RCC0174_X
,RCC0175_X
,RCC0177_X
,RCC0180_X
,RCC0181_X
,RCC0250_X
,RM00004_X
,RM00081_X
,RM00127_X
,RM00130_X
,RM00197_X
,RM00209_X
,RM00216_X
,RM00238_X
,RM00243_X
,RM00245_X
,RM00248_X
,RM00258_X
,RM00261_X
,RM00267_X
,RM00275_X
,RM00335_X
,RM00342_X
,RM00344_X
,RM00351_X
,RM00355_X
,RM00405_X
,RM00410_X
,RM00432_X
,RM00472_X
,RM00479_X
,RM00489_X
,RM00513_X
,RM00705_X
,RM00706_X
,RM00709_X
,RM00710_X
,RM00734_X
,RM00833_X
,RM00842_X
,RM00927_X
,RM00935_X
,RM01082_X
,RM01090_X
,RM01177_X
,RM01214_X
,RM01253_X
,RM01282_X
,RM01492_X
,RM01859_X
,RM01923_X
,RM02016_X
,RM02055_X
,RM02161_X
,RM02164_X
,RM02199_X
,RM02396_X
,RM02433_X
,RM02480_X
,RM02529_X
,RM02619_X
,RM02661_X
,RM02678_X
,RM03026_X
,RM03038_X
,RM03045_X
,RM03172_X
,RM03381_X
,RM03648_X
,RM03650_X
,RM03654_X
,RM03655_X
,RM03656_X
,RM03657_X
,RM03658_X
,RM03659_X
,RM03660_X
,RM03663_X
,RM03665_X
,RM03778_X
,RM03815_X
,RM03858_X
,RM03990_X
,RM03991_X
,RM04096_X
,RM04138_X
,RM04170_X
,RM04204_X
,RM04224_X
,RM04433_X
,RM04737_X
,RM04738_X
,RM04739_X
,RM04740_X
,RM04741_X
,RM04742_X
,RM04743_X
,RM04744_X
,RM04745_X
,RM04746_X
,RM04747_X
,RM04748_X
,RM04749_X
,RM05051_X
