,Body_wall_muscle,Glia,Gonad,Hypodermis,Neurons,Pharynx
RCC0010_I,0,0,0,0,0,0
RCC0010_X,0,0,0,0,0,-9.09E-13
RCC0018_I,0,0,0,0,0,0
RCC0018_X,0,0.01,0,0.01,0,0
RCC0019_I,2.072898788,1.713989617,2.090624148,2.300978831,2.218671345,2.112781604
RCC0019_X,2.585458715,6.058310133,1.792444464,5.799349411,4.467265884,3.17149989
RCC0020_I,0,0,0,0,0,0
RCC0020_X,0.356035531,0.751464713,0.243027591,0.767389551,0.638180841,0.434499984
RCC0021_I,0,0,0.008695465,0,0,0
RCC0021_X,0,0,0,0.01,0,0
RCC0022_I,0,0,0,0,0,0
RCC0022_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0029_I,0,0,0,0,0,0.00E+00
RCC0029_X,0,0,0.01,0,0,0.01
RCC0030_I,0,0,0,0,0,0.00E+00
RCC0030_X,0,0,0.01,0,0,0.01
RCC0031_I,0,0,0,0,0,0
RCC0031_X,0,0,0.01,0,0,0.01
RCC0032_I,0,0,0,0,0,0
RCC0032_X,0.000108079,0.000108079,0.000108079,0.000108079,0.000107738,0.000108079
RCC0033_I,0,0,0,0,0,0
RCC0033_X,7.21E-05,7.21E-05,7.21E-05,7.21E-05,7.18E-05,7.21E-05
RCC0034_I,0,0,0,0,0,0
RCC0034_X,3.60E-05,3.60E-05,3.60E-05,3.60E-05,3.59E-05,3.60E-05
RCC0037_I,0,-6.14E-13,0,-6.82E-13,0,-5.56E-13
RCC0037_X,0.013873111,0.013873111,0.013873111,0.013579877,0.013884722,0.013873111
RCC0038_I,0,-6.14E-13,0,-6.82E-13,0,-5.56E-13
RCC0038_X,0.013176748,0.013176748,0.013176748,0.012883515,0.013186272,0.013176748
RCC0039_I,0,-6.14E-13,0,-6.82E-13,0,-5.56E-13
RCC0039_X,0.012036626,0.012036626,0.012036626,0.011743392,0.012042732,0.012036626
RCC0040_I,0,0,0,0,0,0
RCC0040_X,0.000803287,0.000803287,0.000803287,0.000803287,0.000805696,0.000803287
RCC0041_I,0,0,0,0,0,0
RCC0041_X,0.000948989,0.000948989,0.000948989,0.000948989,0.000951834,0.000948989
RCC0042_I,0,0,0,0,0,0
RCC0042_X,0.000407805,0.000407805,0.000407805,0.000407805,0.000409028,0.000407805
RCC0043_I,0,0,0,0,0,0
RCC0043_X,0.025,0,0.025,0.02,0.025,0.025
RCC0044_I,0.293918406,0.207660531,0.343906093,0.212522332,0.23015844,0.280568034
RCC0044_X,0.0125,0,0.0125,0.01,0.0125,0.0125
RCC0045_I,0.293918406,0.207660531,0.343906093,0.212522332,0.23015844,0.280568034
RCC0045_X,0.0125,0,0.0125,0.01,0.0125,0.0125
RCC0046_I,0.235134725,0.166128425,0.275124874,0.170017866,0.184126752,0.224454427
RCC0046_X,0.01,0,0.01,0.008,0.01,0.01
RCC0050_I,0.00E+00,-4.55E-13,-4.55E-13,-4.55E-13,0.00E+00,-4.55E-13
RCC0050_X,0,0,-4.55E-13,0,0.00E+00,0
RCC0051_I,0,0,0,0,0,0
RCC0051_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0053_I,0,0,0,0,0,0
RCC0053_X,0,0.01,0,0.01,0,0
RCC0055_I,0.00E+00,0.008032126,0,0,0.018240154,0
RCC0055_X,0.01,0.01,0.01,0.006589557,0.01,0.01
RCC0056_I,0.236427316,0.174106916,0.278338033,0.178183151,0.182969632,0.235234085
RCC0056_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0058_I,0,0,0,-4.55E-12,0,-4.55E-12
RCC0058_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0060_I,0,0.004358279,0,0,0,0
RCC0060_X,0.01,0,0.01,0.01,0.01,0.01
RCC0061_I,0.620335684,0.659914533,0.632782397,0.669885144,0.649577298,0.628132749
RCC0061_X,0.066260538,0.067641779,0,0.07759021,0.067280923,0.066154758
RCC0062_I,0.408303166,0.43435457,0,0,0.128194782,0.413435178
RCC0062_X,0.01,0.01,0.01,0.01,0,0.01
RCC0063_I,0.408303166,0.43435457,0,0,0.128194782,0.413435178
RCC0063_X,0.01,0.01,0.01,0.01,0,0.01
RCC0064_I,0.131729064,0.140133442,0.553404661,0.583167432,0.437293687,0.133384779
RCC0064_X,0.01,0,0.01,0.01,0,0
RCC0065_I,0.035044194,0.03728005,0.336962592,0.346557277,0.33605125,0.035484668
RCC0065_X,0,0.01,0.01,0.01,0.076809003,0.072662435
RCC0066_I,0,0,0.120913083,0.132202557,0,0
RCC0066_X,0.01,0.078137683,0.067511201,0.087947806,0.01,0.01
RCC0067_I,0.285879248,0.304119538,0,0,0,0.289472499
RCC0067_X,0.01,0.199610212,0.01,0.01,0.01,0.01
RCC0068_I,0,0,0.282340236,0.30871392,0.29935513,0
RCC0068_X,0,0.025400733,0.027732071,0.01,0.01,0.01
RCC0069_I,0.097197535,0.186717411,0.053672117,0.188012208,0.163363793,0.111921339
RCC0069_X,0,0,0,0,0,0
RCC0070_I,0.116593291,0.189690806,0.081776814,0.191319919,0.17062075,0.128694354
RCC0070_X,0.02321,0,0.021251325,0.01,0,0
RCC0071_I,0.099175098,0,0.104022936,0.106612241,0.103771391,0.100953765
RCC0071_X,0,0.111738851,0,0.02093579,0,0.01
RCC0072_I,0.099175098,0,0.104022936,0.106612241,0.103771391,0.100953765
RCC0072_X,0,0.111738851,0,0.02093579,0,0.01
RCC0073_I,0.0275504,0,0.033101567,0.029266503,0.028770422,0.028428823
RCC0073_X,0,0.101738851,0,0.01093579,0,0
RCC0074_I,0,3.64E-12,3.64E-12,0,0.00E+00,3.64E-12
RCC0074_X,0.00E+00,0.01,0,1.00E-02,0.01,0.01
RCC0076_I,0,0,0,0,0,0
RCC0076_X,3.60E-05,3.60E-05,3.60E-05,3.60E-05,3.59E-05,3.60E-05
RCC0078_I,0,0,0,0,0.01,0
RCC0078_X,0,0,0,0,0.00E+00,0
RCC0079_I,0,0,0,0,0,0
RCC0079_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0080_I,0,0,0,0,0,0
RCC0080_X,0.02,0.01,0.02,0.02,0.02,0.02
RCC0081_I,0,0,0,0,0,0
RCC0081_X,0.03,0.02,0.03,0.03,0.03,0.03
RCC0082_I,0,0,0,0,0,0
RCC0082_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0083_I,0,0,0,0,0,0
RCC0083_X,0,0,0,0.075658711,0,0
RCC0084_I,0.20616605,0.141915578,0.248372708,0.14550476,0.1512819,0.204592469
RCC0084_X,0,0,0,0.110246038,0.00E+00,0
RCC0085_I,2.06E-01,0.149947704,0.248372708,1.46E-01,0.169522054,0.204592469
RCC0085_X,0,0,0,0.106835595,0,-9.15E-13
RCC0086_I,2.06E-01,0.149947704,0.248372708,1.46E-01,0.169522054,0.204592469
RCC0086_X,0,0,0,0.106835595,0,-9.15E-13
RCC0087_I,0,0,0,0,0,0
RCC0087_X,0.01,0.01,0.01,0.01,0.01,0
RCC0088_I,0,0,0,0,0,0
RCC0088_X,0,0,0,0,0,0
RCC0089_I,0,0,0,0,0,0
RCC0089_X,0,0,0,0,0,0
