Row,Hypodermis,Gonad,Glia,Pharynx,Body_wall_muscle,Neurons
BIO0001_I,0,0,0,0,0,0
BIO0001_X,0.486196190174746,0.486196190174614,0.486196190134768,0.486196190174576,0.486196192364047,0.486196190174746
BIO0002_I,0,0,0,0,0,0
BIO0002_X,1.91368830710359,1.69934511262167,1.91368826743733,1.91368826759634,1.69934475300481,1.93263506988077
BIO0003_I,0,0,0,0,0,0
BIO0003_X,0.0796473049306999,0.0796473049306784,0.0796473010091333,0.0796473010156546,0.0796473013743319,0.0796473010156825
BIO0004_I,0,0,0,0,0,0
BIO0004_X,0.00686675212551656,0.00686675212551652,0,0,0,0
BIO0005_I,0.00327316887602113,-0.00742600589937479,-0.00902556455071242,0.100968500489757,0.344353723479347,0.0970614775199336
BIO0005_X,-0.0210873879081719,-0.0225739940997453,-0.0367220574935501,-0.125733877460556,-0.381764944243661,-0.125684249312275
BIO0006_I,0.0231338272502761,0.0651258664760361,0.0575680497376162,0.0674562513954182,-0.0292929844264723,0.0463716764615352
BIO0006_X,0.0933323172022284,0.059388527005311,0.0378059634053266,0.0490098199331617,0.125759056184623,0.0490023366892409
BIO0007_I,0.00999999999993406,0.00999999999942247,0.00999999999987722,0.01,0.00999999999987722,0.01
BIO0007_X,0.000671342107621016,0.010661342107272,0.0106713339714603,0.0206713339257213,0.0206713339737769,0.0106713339257341
BIO0008_I,0,0,0,0,0,0
BIO0008_X,0.0547714572792997,0.0547714572792849,0.0547714152809912,0.0547714152854757,0.0547714155321264,0.0547714152854949
BIO0009_I,0,0,0,0,0,0
BIO0009_X,0.024740771415174,0.0247407714151673,0.0247405733580669,0.0247405733600925,0.0247405734715017,0.0247405733601012
BIO0010_I,0,0,0,0,0,0
BIO0010_X,0.360193514756523,0.360193514756426,0.358970783812156,0.358970783812158,0.358970783914357,0.358970783812159
BIO0011_I,0,0.0124259498238025,0.0490567361663471,0.0177524422416307,-0.0392929844263495,0.0131858382307722
BIO0011_X,0.0497429909736338,0.0373170411498398,-0.00931377566723067,0.0319905182607307,0.0790359451076934,0.0265571222716077
BIO0012_I,0.00109105629200704,0,-0.00300852151690414,0,0,0
BIO0012_X,-0.00702912930272395,-0.00999999999970669,-0.0122406858311834,-0.00825512565693297,-0.0124704069214378,-0.00954092393078029
BIO0013_I,0.00109105629200704,-0.0037130029496874,-0.00300852151690414,0.0504842502448783,0.172176861739674,0.0485307387599668
BIO0013_X,-0.00702912930272395,-0.00628699705001929,-0.0122406858311834,-0.0587393759018113,-0.184647268661111,-0.0580716626907471
BIO0014_I,0,0,0,0,0,0
BIO0014_X,0.0106713421075551,0.0106713421075522,0.0106713339248566,0.0106713339257304,0.0106713339737862,0.0106713339257341
BIO0015_I,0,0,0,0,0,0
BIO0015_X,3.60193514756523e-05,3.60193514756426e-05,3.58970783812159e-05,3.58970783812158e-05,3.58970783914376e-05,3.58970783812159e-05
BIO0100_I,0,0,0,0,0,0
BIO0100_X,0,0,0,0,0.00652732465539331,0
BIO0101_I,0,0,0,0,0,0
BIO0101_X,0.00122273084118148,0.00122273084108671,0.0419088649822081,0.0419088649822097,0.352443445709951,0.0139696216607364
BIO0102_I,0,0,0,0,0,0
BIO0102_X,0,0,0,0,0,0
BIO0103_I,0,0,0,0,0,0
BIO0103_X,0.0409381663706145,0.358970346702086,0,0,0,0
BIO0104_I,0,0,0,0,0,0
BIO0104_X,0,0,0.00652734837668395,0.00652734818298902,1.35490125645029e-08,0.00652734818216636
BIO0105_I,0,0,0,0,0,0
BIO0105_X,0.318032617544727,4.37213253149166e-07,0,0,0,0
BIO0106_I,0,0,0,0,0,0
BIO0106_X,0,0,0.310534570453264,0.310534570646959,0,0.338473813969256
BIO0107_I,0,0,0,0,0,0
BIO0107_X,0,0,0,0,0,0
DGR0001_I,4.33943984145704,4.78780125253454,6.81100110400811,4.02471362332303,4.78259871490541,4.59831576814614
DGR0002_I,0.547935124474107,0.604549105670732,0.916418831588607,0.508195076032596,0.342349059913256,0.489713108590734
