protSfarC[c]
protSgerCmet[c]
collg[c]
pe[c]
pepd[c]
akac2gchol[c]
pail[c]
fm2masn[c]
sphmyln_ce[c]
chitin[c]
focytC[m]
prot_mito[m]
lpchol[c]
Glycans[c]
RNA[c]
protSger[c]
protSfarCmet[c]
DNA[c]
akac2gpe[c]
m3masn[c]
hemeprotein[c]
ISclustprot[m]
PhosphoL[c]
m4masn[c]
nm3masn[c]
alkenac2gpe[c]
nm2masn[c]
biomass_minor[c]
pchol[c]
clpn[c]
m2masn[c]
protSfar[c]
ps[c]
prot_other[c]
protSgerC[c]
fn2m2masn[c]
