Lreactions,Hreactions
RC07392_X,RC02737_X
RC08223_I,RC02739_X
RC08223_X,RC02740_X
RC08224_I,RC02743_X
RC08388_X,RC02746_X
RC08505_I,RC02749_X
RC08723_I,RC02757_X
RC08723_X,RC02902_X
RC08724_I,RC02908_X
RC08724_X,RC02914_X
RC08725_I,RC02918_X
RC08734_X,RC02957_X
RC08759_I,RC03020_X
RC08761_I,RC03038_X
RC09319_X,RC03055_X
RC09394_I,RC03104_X
RC09394_X,RC03105_X
RC09752_I,RC03106_X
RC09752_X,RC03219_X
RC09844_I,RC03283_X
RC10059_I,RC03321_X
RC10059_X,RC03332_X
RC10306_I,RC03346_X
RCC0010_I,RC03348_X
RCC0010_X,RC03361_X
RCC0018_I,RC03362_X
RCC0031_I,RC03363_X
RCC0031_X,RC03416_X
RCC0034_I,RC03421_X
RCC0034_X,RC03433_X
RCC0053_I,RC03435_X
RCC0069_X,RC03469_X
RCC0072_X,RC03482_X
RCC0088_X,RC03542_X
RCC0090_X,RC03552_X
RCC0092_X,RC03596_X
RCC0094_X,RC03601_X
RCC0095_X,RC03618_X
RCC0097_X,RC03634_X
RCC0098_X,RC03646_X
RCC0140_I,RC03648_X
RCC0142_I,RC03650_X
RCC0142_X,RC03652_X
RCC0156_I,RC03654_X
RCC0156_X,RC03655_X
RCC0174_I,RC03656_X
RCC0175_I,RC03657_X
RCC0180_X,RC03658_X
RCC0250_I,RC03659_X
RE00548_X,RC03660_X
RE00548_I,RC03661_X
RE10092_X,RC03662_X
RM00112_X,RC03663_X
RM00115_X,RC03664_X
RM00199_X,RC03665_X
RM00261_I,RC03749_X
RM00371_I,RC03755_X
RM00489_I,RC03814_X
RM00549_I,RC03875_X
RM00711_X,RC03936_X
RM00716_I,RC03970_X
RM00751_X,RC04025_X
RM00781_I,RC04162_X
RM01253_I,RC04173_X
RM01253_X,RC04176_X
RM01465_I,RC04183_X
RM01616_I,RC04184_X
RM01616_X,RC04300_X
RM02164_I,RC04404_X
RM02301_I,RC04452_X
RM02313_I,RC04480_X
RM03905_I,RC04513_X
RM03905_X,RC04545_X
RM04807_I,RC04674_X
RM07411_X,RC04734_X
RM08505_I,RC04770_X
RM08759_I,RC04780_X
RM08761_I,RC04807_X
RM08774_I,RC04823_X
RM08775_I,RC04824_X
RMC0006_I,RC04866_X
RMC0007_I,RC04867_X
RMC0008_I,RC04903_X
RMC0077_I,RC04928_X
RMC0092_I,RC04929_X
RMC0092_X,RC05050_X
RMC0094_I,RC05052_X
RMC0094_X,RC05577_X
RMC0097_I,RC05578_X
RMC0097_X,RC05623_X
RMC0132_I,RC05795_X
RMC0184_I,RC05802_X
RMC0187_I,RC05976_X
RMC0187_X,RC05979_X
TCE5106_I,RC05980_X
TCE5106_X,RC05981_X
,RC05982_X
,RC05983_X
,RC05985_X
,RC06258_X
,RC06259_X
,RC06261_X
,RC06519_X
,RC06520_X
,RC06521_X
,RC06522_X
,RC06983_X
,RC07034_X
,RC07109_X
,RC07140_X
,RC07168_X
,RC07172_X
,RC07211_X
,RC07299_X
,RC07324_X
,RC07377_X
,RC07379_X
,RC07385_X
,RC07387_X
,RC07396_X
,RC07641_X
,RC07758_X
,RC07759_X
,RC07760_X
,RC07761_X
,RC07933_X
,RC08198_X
,RC08218_X
,RC08379_X
,RC08383_X
,RC08505_X
,RC08539_X
,RC08707_X
,RC08725_X
,RC08733_X
,RC08759_X
,RC08761_X
,RC08969_X
,RC09035_X
,RC09036_X
,RC09085_X
,RC09086_X
,RC09510_X
,RC09511_X
,RC09845_X
,RC10092_X
,RC10306_X
,RC10633_X
,RC10928_X
,RC10951_X
,RC12124_X
,RCC0001_X
,RCC0018_X
,RCC0019_X
,RCC0020_X
,RCC0021_X
,RCC0022_X
,RCC0032_X
,RCC0033_X
,RCC0037_X
,RCC0038_X
,RCC0039_X
,RCC0040_X
,RCC0041_X
,RCC0042_X
,RCC0044_X
,RCC0045_X
,RCC0051_X
,RCC0053_X
,RCC0055_X
,RCC0056_X
,RCC0058_X
,RCC0060_X
,RCC0061_X
,RCC0062_X
,RCC0063_X
,RCC0064_X
,RCC0065_X
,RCC0066_X
,RCC0067_X
,RCC0068_X
,RCC0070_X
,RCC0071_X
,RCC0073_X
,RCC0079_X
,RCC0080_X
,RCC0081_X
,RCC0082_X
,RCC0101_X
,RCC0102_X
,RCC0108_X
,RCC0109_X
,RCC0110_X
,RCC0111_X
