Row,Hypodermis,Gonad,Glia,Pharynx,Body_wall_muscle,Neurons
BIO0001_I,0,0,0,0,-0,0
BIO0001_X,0.486196190174746,0.486196190174617,0.48619619013477,0.486196190174746,0.486196192364047,0.486196190174746
BIO0002_I,0,0,0,0,0,0
BIO0002_X,1.91368830710359,1.69934511262168,1.91368826743733,1.91368826759702,1.69934475300481,1.93263506988077
BIO0003_I,0,0,0,0,0,0
BIO0003_X,0.0796473049306999,0.0796473049306787,0.0796473010091336,0.0796473010156825,0.0796473013743319,0.0796473010156825
BIO0004_I,0,0,0,0,0,0
BIO0004_X,0.00686675212551656,0.00686675212551652,0,0,0,0
BIO0005_I,0.00327316887597986,-0.00742600590022678,-0.00902556354824047,0.100963881517288,0.344354107355567,0.0970614775518992
BIO0005_X,-0.0210873879081719,-0.0225739940997453,-0.0367220574936179,-0.125733877266658,-0.38176536953482,-0.125684249344221
BIO0006_I,0.0231338272504558,0.0651258664762077,0.0575680501746205,0.0674562514246886,-0.0292931245236263,0.0463716764567545
BIO0006_X,0.0933323172022284,0.059388527005311,0.0378059634056266,0.0490098199039246,0.125759196281862,0.049002336694058
BIO0007_I,0.00999999999993406,0.00999999999999997,0.00999999999999956,0.00999999999999995,0.00999999999987722,0.01
BIO0007_X,0.000671342107621016,0.0106613415868842,0.0106713339737775,0.020671333925725,0.020671333973777,0.0106713339257341
BIO0008_I,0,0,0,0,0,0
BIO0008_X,0.0547714572792997,0.0547714572792851,0.0547714155321265,0.0547714152854949,0.0547714155321264,0.0547714152854949
BIO0009_I,0,0,0,0,0,0
BIO0009_X,0.024740771415174,0.0247407714151674,0.0247405705806588,0.0247405733601012,0.0247405734715017,0.0247405733601012
BIO0010_I,0,0,0,0,0,0
BIO0010_X,0.360193514756523,0.360193514756427,0.358970783812158,0.358970783812157,0.358970783914362,0.358970783812159
BIO0011_I,-0.00914030720653503,-0.00361301830535282,0.0180489888745286,0.00576192401005288,-0.0392931245235035,0.00718902890989124
BIO0011_X,0.0588832981801688,0.0533560092790521,0.0216939718068153,0.0439810364923223,0.0790360852048474,0.0325539315924932
BIO0012_I,0.00109105629199329,0,-0.00300852118274682,0,0,0
BIO0012_X,-0.00702912930272396,-0.00999999999999068,-0.012240685831206,-0.00825666524978989,-0.0124704207264176,-0.00954092393077392
