wbid	Neurons	Gonad	Hypodermis	Pharynx	Body_wall_muscle	Glia	Intestine
WBGene00000177	0.0	1.96266412252	0.433192367248	0.730298904408	28.960943614	0.0	3.60585775659
WBGene00000178	8.88972083889	5.64080277715	50.0855976219	47.4100824817	23.628662891	19.3419608714	20.4401247327
WBGene00000179	0.514038615729	5.9207370131	16.8036976768	14.8123853288	18.8218017127	25.9812746191	28.1809787403
WBGene00000180	40.207762193	4.46732228398	21.6461038918	21.3520306932	23.9788141402	12.1913198065	47.4561169355
WBGene00000181	16.5652067506	36.384420833	27.2228707308	24.8451142703	70.1302085817	25.8142860115	65.1403307024
WBGene00000182	158.235910081	135.917042565	229.352176961	142.747225653	82.4594238428	181.849534858	50.4761667985
WBGene00000183	108.978423906	126.209400638	353.874689804	203.480224374	104.035966883	294.57565929	66.2066349176
WBGene00000184	26.7145299028	36.2720136314	16.5056171217	25.8493518423	11.7732842608	24.0156037475	6.05005441879
WBGene00000185	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00000186	140.954133846	185.231384562	102.927146505	68.3371746592	269.018439544	118.440441006	81.2531869316
WBGene00000187	28.8070785332	31.3486783546	36.278958942	33.0011385182	9.75058737784	41.0718541041	7.99303236446
WBGene00000188	33.1359808487	0.069659809355	22.0246243146	7.2351023411	193.523234191	2.82660433956	423.422290124
WBGene00000189	8.40925560318	12.5015502105	13.7398800402	0.0	4.42622204196	0.335555718859	1.90902946148
WBGene00000190	0.370633932278	0.683089055686	0.219819387516	0.395901626364	0.0273516419038	0.0	0.0
WBGene00000192	94.432414781	97.8480709052	33.7906172853	67.0511250579	39.7359863725	85.2633427421	9.92139229789
WBGene00000193	6.66893328113	0.129790233025	0.0	0.0	0.105706277015	0.0	0.0
WBGene00000195	77.2454172341	1.99781838633	12.0997952222	10.8718370475	9.30621373887	16.2250544293	12.1665363457
WBGene00000196	44.1468525857	228.382953522	53.1332476525	72.6544201711	74.1363888609	60.5150515505	97.3757148534
WBGene00000197	59.0780336447	134.992394431	62.5669871301	132.875297266	80.6611540562	108.525287768	144.308226219
WBGene00000198	47.1871660822	117.315396588	78.4274859214	50.696107068	49.9428034912	65.4102762835	102.697384063
WBGene00000199	89.4405218239	73.1565994462	55.140159675	113.265482908	37.7429130953	121.679042657	124.609861017
WBGene00000200	48.7052793456	104.525004967	43.7886326373	120.098080431	38.8423362504	157.531485061	46.2692256101
WBGene00000201	68.4718111424	121.453927922	60.375373713	138.688468717	52.5638743792	162.721382068	61.096501313
WBGene00000202	4.33475949556	16.6252048543	2.70583656466	11.0625284993	2.05798753326	0.643181949742	6.65260848093
WBGene00000203	11.7466794223	18.4494206699	16.8008999431	39.1794709736	11.6216667005	14.116769031	6.21421152157
