Gene	B-cells	NK-cells	T-cells	adipose tissue	adrenal gland	amygdala	appendix	basal ganglia	bone marrow	breast	cerebellum	cerebral cortex	cervix, uterine	colon	corpus callosum	dendritic cells	ductus deferens	duodenum	endometrium	epididymis	esophagus	fallopian tube	gallbladder	granulocytes	heart muscle	hippocampal formation	hypothalamus	kidney	liver	lung	lymph node	midbrain	monocytes	olfactory region	ovary	pancreas	parathyroid gland	pituitary gland	placenta	pons and medulla	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin	small intestine	smooth muscle	spinal cord	spleen	stomach	substantia nigra	testis	thalamus	thymus	thyroid gland	tongue	tonsil	total PBMC	urinary bladder	vagina
HGNC:4008	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	High	High	High	High	High	High	High	Moderate	High	High	Moderate	High	Moderate	Moderate	High	High	High	High	High	High	Moderate	High	High	High	Moderate	High	High	Moderate	High	High	High	High	Moderate	Moderate	High	Moderate	High	High	High	High	Moderate	High	Moderate	High	Moderate	Moderate	High	High	High
HGNC:4311	Low	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	High	High	Moderate	High	Moderate	Moderate	High	Moderate	Low	High	Moderate
HGNC:1884	Rare	Rare	Rare	Low	Rare	Low	Moderate	Low	Rare	Rare	Rare	Rare	Low	High	Rare	Rare	Low	Moderate	Low	Low	Low	Low	High	Rare	Rare	Low	Rare	Low	Low	Moderate	Rare	Low	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Low	Moderate	Rare	High	Rare	Rare	Low	High	Rare	Low	Rare	Low	Low	Low	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare
HGNC:2649	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	High	Moderate	High	Moderate	High	High	Moderate	Moderate	High	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	High	High	High	High	Moderate	High	Moderate	Moderate	High	High	High	Moderate	Moderate	High	High	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	High	High	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate
HGNC:18449	Moderate	Moderate	Moderate	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High	High	Moderate	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	Moderate	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:5194	High	Rare	Rare	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Rare	Moderate	Low	Low	Moderate	Low	Moderate	Moderate	Moderate	Rare	Low	High	Low	Low	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate
HGNC:80	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Low	High	Rare	Low	Low	High	Rare	Moderate	Low	Rare	Moderate	High	Rare	Rare	Rare	High	Low	Rare	Low	Rare	Rare	Rare	Rare	Low	Rare	Rare	High	Rare	Low	High	Rare	Low	Rare	Rare	Low	High	Rare	Rare	Low	Low	Rare	Low	Rare	Low	Rare	Rare	Low	Rare	Low	Low
HGNC:20581	Rare	Rare	Rare	High	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	High	High	Moderate	Moderate	Low	Rare	Low	Moderate	Low	Low	Moderate	Moderate	Low	Rare	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Rare	Moderate	Moderate	Rare	Low	Moderate	Moderate	High	Low	Low	Low	Moderate	Moderate	Moderate	High	Moderate	Low	Low	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Rare	Low	Moderate
HGNC:11060	Rare	Rare	Rare	Moderate	Moderate	Moderate	Low	Moderate	Rare	High	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Rare	Moderate	High	High	High	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Moderate	Low	Rare	Moderate	Moderate
HGNC:362	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:1667	Moderate	High	Low	Moderate	Low	Moderate	High	Moderate	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	High	Moderate	Low	Low	Low	Low	Rare	Low	Low	Low	Moderate	Low	Moderate	Low	High	Moderate	Low	Moderate	Low	Low	High	Low	Moderate	Low	Low	High	Low	Low	Moderate	Moderate	Moderate	Low
HGNC:7694	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	Moderate	High	High	Moderate	Moderate	Moderate	High	High	High	High	Moderate	Moderate
HGNC:10983	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:11027	Low	Moderate	Low	Low	Rare	Rare	Rare	Low	High	Rare	Low	Rare	Rare	Rare	Low	Low	Rare	Rare	Rare	Low	Low	Rare	Rare	Moderate	Moderate	Rare	Rare	High	Low	Moderate	Low	Low	Low	Rare	Moderate	Rare	Rare	Low	High	Low	Low	Rare	Low	Rare	Rare	Low	Rare	Rare	Rare	Low	Moderate	Rare	Low	Rare	Rare	Low	Moderate	Rare	Rare	Low	Moderate	Moderate
HGNC:10991	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:7218	Rare	Rare	Rare	Rare	Rare	Low	Rare	Low	High	Rare	Low	Low	Rare	Rare	Low	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	High	Low	Low	Rare	Low	Moderate	Low	Low	Moderate	Rare	Low	Rare	Rare	Low	Low	Low	Rare	Rare	Rare	Moderate	Rare	Low	Low	Rare	Rare	Low	High	Rare	Low	Low	Rare	High	Low	Rare	Low	Moderate	Rare	Rare
HGNC:2366	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	High
HGNC:45	Moderate	Rare	Rare	Low	Moderate	Rare	Moderate	Rare	Rare	Rare	Rare	Low	Rare	Low	Low	Low	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Moderate	Rare	Rare	Low	High	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Low	Low	Low	Rare	Low	Low	Low	Low	Low	Moderate	Rare	Rare	Low	Low	Rare	Low	Moderate	Low	Rare	Low	Low
HGNC:59	Rare	Rare	Rare	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	High	Moderate	Low	Low	Low	Rare	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Moderate	Rare	Moderate	Low	High	Low	High	Low	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Rare	Moderate	Rare	Low	Rare	Low	Low
HGNC:410	Rare	Moderate	Rare	Moderate	Moderate	Low	Moderate	Moderate	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Low	Moderate	Moderate	Rare	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Moderate	Moderate	Moderate
HGNC:21705	High	High	High	High	High	High	Moderate	High	Moderate	High	Moderate	High	Moderate	High	Moderate	High	High	High	Moderate	High	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	High	Moderate	High	High	Moderate	High	Moderate	High	High	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	High	Moderate	High	High
HGNC:24887	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate
HGNC:23061	Low	Rare	Rare	Low	Low	Low	Rare	Moderate	Rare	Low	Moderate	Low	Low	Rare	Low	Rare	Low	Rare	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Rare	Low	Low	Rare	Low	Low	Low	Rare	Moderate	Low	Low	Low	Rare	Low	Low	Low	Rare	Low	Low	Rare	Low	Rare	Rare	Low	Low	Low	Rare	Low	Rare	Low	Rare	Low	Rare
HGNC:8574	Moderate	Moderate	Moderate	High	High	High	High	High	Moderate	High	High	High	High	High	High	Moderate	Moderate	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High
HGNC:10917	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	High	Rare	Low	Moderate	High	Rare	Low	Rare	Rare	Low	Rare	Rare	Rare	Rare	Moderate	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	High	High	Rare	Low	High	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare
HGNC:11835	Rare	Low	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Low	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare
HGNC:14135	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:3771	Low	Rare	Rare	Moderate	Low	Rare	Low	Rare	Rare	Low	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Low	Low	Low	Low	Rare	Rare	Low	Rare	Rare	Moderate	High	Moderate	Low	Rare	Rare	Rare	Low	Low	Rare	Low	Rare	Low	Rare	Rare	Moderate	Low	Rare	Low	Low	Low	Rare	Rare	Rare	Low	Rare	Low	Rare	Rare	Low	Low	Low	Rare	Rare	Rare
HGNC:29831	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:17366	Low	Rare	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	High	Moderate	Moderate	Low	Moderate	Low	High	Moderate	Moderate	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	High	Moderate	Low	High	Rare	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	Low	Rare	Moderate	Moderate
HGNC:7061	Rare	Rare	Rare	High	High	High	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	Moderate	High	High	High	Moderate	High	High	Moderate	Moderate	Moderate	Low	Moderate	Moderate	High	High	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	Low	Moderate	High	Moderate	Moderate	Rare	High	Moderate	Moderate	Moderate	High	High
HGNC:10862	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Moderate	High	High	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	Moderate	High	Moderate	High	Moderate	Moderate	Moderate
HGNC:12585	High	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate
HGNC:11046	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Rare	Rare	Low	Low	Low	Low	Moderate	Low	Rare	Low	Low	Low	High	Moderate	Low	Low	Low	Rare	Moderate	Low	Low	Low	Low	Low	Moderate	Low	Low	High	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Rare	Moderate	Rare	Low	Rare	Low	Rare
HGNC:5389	Moderate	Moderate	High	Moderate	High	High	Moderate	High	High	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	High	High	High	High	Moderate	Moderate	High	Moderate	High	High	High	High	Moderate	High	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate
HGNC:3769	Low	Rare	Rare	Low	Moderate	Rare	Rare	Rare	Rare	Moderate	Rare	Low	Moderate	Low	Rare	Rare	Low	Rare	Low	Low	Moderate	Low	Low	Rare	Low	Rare	Rare	High	Low	Low	Rare	Rare	Rare	Rare	Moderate	Low	Rare	Low	Low	Rare	Low	Rare	Moderate	Moderate	Low	Rare	Moderate	Moderate	Low	Rare	Rare	Low	Rare	Low	Rare	Low	Low	Moderate	Moderate	Rare	Low	Low
HGNC:11054	Rare	Rare	Rare	Low	Low	Moderate	Low	Moderate	Low	Low	High	High	Low	Moderate	Rare	Rare	Rare	Moderate	Low	Low	Low	Low	Low	Rare	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Rare	Moderate	Low	Low	Low	Rare	Low	Low	Low	Moderate	Rare	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Rare	Rare	Low	Rare	Low	Rare	Low	Rare
HGNC:8971	Moderate	Moderate	Moderate	High	High	High	High	High	Moderate	High	High	High	High	High	Moderate	Moderate	High	High	High	High	High	High	High	Moderate	High	Moderate	Moderate	High	High	High	Moderate	High	Moderate	High	High	Moderate	High	High	High	High	High	Moderate	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	Moderate	High	Moderate	Moderate	Low	High	High
HGNC:3518	Low	Low	Moderate	Moderate	High	High	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate
HGNC:21308	High	Moderate	High	High	High	High	High	High	High	High	Moderate	High	High	Moderate	High	High	High	Moderate	High	High	Moderate	High	High	High	Moderate	High	High	Moderate	High	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	High	Moderate	Moderate	High	High	High	High	Moderate	High	High	High	High	High	Moderate	High	Moderate	High	High
HGNC:435	High	Rare	Low	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	High	Moderate	High	Moderate
HGNC:8907	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	High	High	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:21385	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:125	Rare	Low	Rare	Low	Low	Low	Low	Low	Low	Low	Rare	Low	Moderate	Low	Rare	Moderate	Rare	Low	Rare	Low	High	Low	Rare	High	Low	Rare	Rare	Moderate	Rare	Low	Low	Low	Moderate	Low	Low	Low	Low	Rare	Moderate	Low	High	Low	Low	Moderate	Rare	Rare	Low	Low	Low	Low	Low	Low	Low	Low	Low	Rare	Low	Moderate	Moderate	Low	Low	Low
HGNC:6970	High	High	High	High	High	High	Moderate	High	Moderate	High	High	High	Moderate	High	Moderate	High	Moderate	High	Moderate	High	High	High	Moderate	High	High	High	High	High	High	Moderate	High	High	High	High	Moderate	Moderate	High	High	Moderate	High	High	High	Moderate	High	High	High	Moderate	High	High	High	Moderate	High	High	Moderate	Moderate	Moderate	High	High	High	High	High	Moderate
HGNC:3002	Rare	Rare	Rare	Rare	Low	Rare	Low	Rare	Rare	Rare	Rare	Rare	Low	High	Rare	Rare	Low	High	Rare	Low	Rare	Rare	Low	Rare	Rare	Rare	Rare	High	Rare	Rare	Low	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Low	High	Rare	Rare	Low	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Low	Rare	Low	Rare
HGNC:7898	Rare	Low	Low	Low	Rare	Rare	Rare	Rare	Rare	Low	Low	Rare	Rare	High	Rare	Rare	Rare	High	Low	Rare	Rare	Rare	Moderate	Low	Rare	Rare	Rare	Low	High	Rare	Rare	Rare	Rare	Rare	Low	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Low	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low
HGNC:15517	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:24288	Rare	Rare	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Low	Moderate	Rare	Moderate	Low	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Rare	Low	Rare	Low	Low
HGNC:18070	Moderate	Moderate	High	Low	Low	Moderate	Moderate	Moderate	High	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Low	Low	Moderate	Low	Low	Rare	Low	Moderate	Moderate	Low	Low	Moderate	Low	Moderate	Low	Low	Moderate	High	Low	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Low
HGNC:10907	Low	Rare	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Rare	Low	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	High	High	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Low	Moderate	Low	Low	Moderate	High	High	Low	High	Moderate	Moderate	Rare	Low	Rare	Low	Moderate	Moderate	Low
HGNC:800	Low	Low	Low	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Low	High	High	High	Moderate	Moderate	Moderate	Moderate	High	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Rare	Moderate	High	Moderate	Rare	Moderate	Low
HGNC:2602	Rare	Rare	Moderate	Rare	Rare	Low	Rare	Low	Rare	Moderate	Rare	Low	Moderate	Rare	Rare	Rare	Rare	Rare	Moderate	Low	Moderate	Rare	Rare	Rare	Rare	Low	Low	High	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Moderate	Rare	Moderate	Rare	Rare	Rare	Low	Rare	Low	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Low	Low	Moderate	High	Rare	High	Moderate
HGNC:17450	Low	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Low	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Low	Rare	Rare	Moderate	Rare	Low	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:11067	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	High	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:2323	Rare	Rare	Low	Low	Rare	Low	Rare	Low	Rare	Low	Rare	Low	Low	Rare	Low	Rare	Rare	High	Rare	Low	Low	Rare	Low	Rare	Rare	Low	Low	Low	High	Rare	Rare	Low	Rare	Low	Low	Rare	Rare	Low	Low	Low	Rare	Rare	Low	Rare	Rare	Rare	Rare	High	Low	Low	Rare	Rare	Low	Low	Low	Rare	Low	Low	Rare	Rare	Rare	Low
HGNC:7707	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	High	High	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate
