Gene	B-cells	NK-cells	T-cells	adipose tissue	adrenal gland	amygdala	appendix	basal ganglia	bone marrow	breast	cerebellum	cerebral cortex	cervix, uterine	colon	corpus callosum	dendritic cells	ductus deferens	duodenum	endometrium	epididymis	esophagus	fallopian tube	gallbladder	granulocytes	heart muscle	hippocampal formation	hypothalamus	kidney	liver	lung	lymph node	midbrain	monocytes	olfactory region	ovary	pancreas	parathyroid gland	pituitary gland	placenta	pons and medulla	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin	small intestine	smooth muscle	spinal cord	spleen	stomach	substantia nigra	testis	thalamus	thymus	thyroid gland	tongue	tonsil	total PBMC	urinary bladder	vagina
HGNC:6833	Rare	Rare	Low	High	Moderate	Moderate	Moderate	Moderate	Rare	High	Moderate	Moderate	Moderate	High	Moderate	Rare	Moderate	High	Moderate	Moderate	High	Moderate	High	Rare	High	Moderate	Moderate	High	High	High	Moderate	Moderate	Low	Moderate	Moderate	High	Moderate	Low	High	Moderate	High	High	Moderate	High	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Rare	High	Moderate	Moderate	Rare	High	High
HGNC:91	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:256	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	High	High	Rare	Rare	Low
HGNC:750	Moderate	Low	Moderate	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Rare	Low	Rare	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Rare	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Rare	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Rare	Low	Low
HGNC:4291	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:11453	Rare	Low	Low	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	High	High	Moderate	High	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Low	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate
HGNC:17358	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:11056	Rare	Rare	Low	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Rare	Moderate	Moderate	Moderate	Low	High	Moderate	Moderate	Rare	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	High	Rare	Moderate	Moderate	Moderate	Moderate	Low	Low	High	Moderate	Moderate	High	Moderate	Moderate	Low	High	Moderate	Moderate	High	Low	Moderate	High	Low	High	Rare	Moderate	Moderate	Moderate	Rare	Moderate	Moderate
HGNC:6825	Low	Rare	Low	High	Moderate	High	Moderate	High	High	High	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	High	High	Moderate	High	High	Moderate	Moderate	High	High	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate
HGNC:250	Low	Low	Low	High	Moderate	Rare	High	Rare	Low	High	Rare	Low	High	High	Low	Rare	Moderate	Low	Moderate	Moderate	High	High	High	Low	High	Rare	Rare	Moderate	High	High	High	Low	Rare	Rare	High	Moderate	Low	Moderate	Low	Low	High	Moderate	Low	Moderate	Moderate	High	Moderate	High	High	Low	Moderate	Moderate	Low	High	Rare	Rare	High	Moderate	Low	Rare	High	High
